ID;FIRSTNAME;LASTNAME;IsCustomer?;Revenue;company_name;CreationDate;ADDRESS;CITY;county;STATE;zip;phone1;phone2;EMAIL;web;CUST_TYPE
ID-4004;Jolene;Ostolaza;FALSE;4447.89;Central Die Casting Mfg Co Inc;02/04/2003;1610 14th St Nw;Newport News;Newport News City;VA;23608;757-682-7116;757-940-1741;jolene@yahoo.com;http://www.centraldiecastingmfgcoinc.com;Silver
ID-3815;;Suffield;TRUE;2945.46;Deltam Systems Inc;14/07/2010;3270 Dequindre Rd;Deer Park;Suffolk;NY;11729;631-258-6558;631-295-9879;gwenn_suffield@suffield.org;http://www.deltamsystemsinc.com;Standard
ID-3933;Weldon;Acuff;FALSE;3898.31;Advantage Martgage Company;15/04/2019;73 W Barstow Ave;Arlington Heights;Cook;IL;60004;847-353-2156;847-613-5866;wacuff@gmail.com;http://www.advantagemartgagecompany.com;Gold
ID-3877;Judy    ;Aquas;FALSE;8332.74;Plantation Restaurant;11/04/2001;8977 Connecticut Ave Nw #3;Niles;Berrien;MI;49120;269-756-7222;269-431-9464;jaquas@aquas.com;http://www.plantationrestaurant.com;Silver
;;;;;;;;;;;;;;;;
ID-3781;Jolanda;Hanafan;FALSE;8674.78;Perez, Joseph J Esq;11/07/2017;37855 Nolan Rd;Bangor;Penobscot;ME;4401;207-458-9196;207-233-6185;jhanafan@gmail.com;http://www.perezjosephjesq.com;Silver
ID-4065;Janey;Gabisi;TRUE;n-a;Dobscha, Stephen F Esq;30/12/2014;40 Cambridge Ave;Madison;Dane;WI;53715;608-967-7194;608-586-6912;jgabisi@hotmail.com;http://www.dobschastephenfesq.com;Premium
ID-3701;;Menter;FALSE;2374.38;Custom Engineering Inc;29/09/2007;8 County Center Dr #647;Boston;Suffolk;MA;2210;617-418-5043;617-697-6024;oretha_menter@yahoo.com;http://www.customengineeringinc.com;Premium
ID-3759;Annabelle;Boord;FALSE;$714038;Corn Popper;09/03/2007;523 Marquette Ave;Concord;Middlesex;MA;1742;978-697-6263;978-289-7717;annabelle.boord@cox.net;http://www.cornpopper.com;Standard
ID-3945;Krissy;Rauser;FALSE;7100.11;Anderson, Mark A Esq;01/11/2000;8728 S Broad St;Coram;Suffolk;NY;11727;631-443-4710;631-288-2866;krauser@cox.net;http://www.andersonmarkaesq.com;Standard
ID-3972;    Glenn;Berray;TRUE;9190.74;Griswold, John E Esq;26/04/2001;29 Cherry St #7073;Des Moines;Polk;IA;50315;515-370-7348;515-372-1738;gberray@gmail.com;http://www.griswoldjohneesq.com;Standard
ID-4011;Selma;Husser;FALSE;7836.32;Armon Communications;11/09/2013;9 State Highway 57 #22;Jersey City;Hudson;NJ;7306;201-991-8369;201-772-7699;selma.husser@cox.net;http://www.armoncommunications.com;Standard
;;;;;;;;;;;;;;;;
ID-4057;Roslyn   ;Chavous;FALSE;5315.43;Mcrae, James L;22/10/2010;63517 Dupont St;Jackson;Hinds;MS;39211;601-234-9632;601-973-5754;roslyn.chavous@chavous.org;http://www.mcraejamesl.com;Gold
ID-3910;Leota;Ragel;TRUE;2391.44;Mayar Silk Inc;01/03/2017;99 5th Ave #33;Trion;Chattooga;GA;30753;706-221-4243;706-616-5131;leota.ragel@gmail.com;http://www.mayarsilkinc.com;Gold
ID-3707;;Papasergi;FALSE;$291445;Bailey Cntl Co Div Babcock;07/03/2000;83 County Road 437 #8581;Clarks Summit;Lackawanna;PA;18411;570-867-7489;570-469-8401;rpapasergi@cox.net;http://www.baileycntlcodivbabcock.com;Gold
ID-3680;Lisha;Centini;TRUE;3060.35;Industrial Paper Shredders Inc;05/11/2009;64 5th Ave #1153;Mc Lean;Fairfax;VA;22102;703-235-3937;703-475-7568;lisha@centini.org;http://www.industrialpapershreddersinc.com;Silver
ID-3915;;Brucato;TRUE;6362.62;Glenridge Manor Mobile Home Pk;22/10/2015;201 Ridgewood Rd;Moscow;Latah;ID;83843;208-252-4552;208-793-4108;winfred_brucato@hotmail.com;http://www.glenridgemanormobilehomepk.com;Gold
ID-4069;Gail;Similton;TRUE;3650.99;Johnson, Wes Esq;22/03/2019;62 Monroe St;Thousand Palms;Riverside;CA;92276;760-616-5388;760-493-9208;gail_similton@similton.com;http://www.johnsonwesesq.com;Standard
ID-3872;;Pontoriero;TRUE;not avail.;Business Systems Of Wis Inc;13/02/2020;812 S Haven St;Amarillo;Randall;TX;79109;806-703-1435;806-558-5848;cathrine.pontoriero@pontoriero.com;http://www.businesssystemsofwisinc.com;Gold
